product_price,product_original_price,product_star_rating,product_num_ratings,product_minimum_offer_price,is_prime,climate_pledge_friendly,has_variations,coupon_discount,sales_volume
39.2,80.0,4.6,394,39.2,1.0,0.0,1.0,0.0,79
39.0,70.0,4.5,501,39.0,1.0,0.0,1.0,0.0,187
27.95,60.0,4.3,147,27.95,0.0,0.0,1.0,0.0,38
50.99,75.0,4.7,2026,50.99,1.0,0.0,1.0,0.0,83
55.0,65.0,4.4,36303,55.0,1.0,0.0,1.0,0.0,295
44.42,80.0,4.6,704,44.42,1.0,0.0,1.0,0.0,442
15.74,39.99,4.2,12844,15.74,1.0,0.0,1.0,0.0,404
39.98,,4.6,206,39.98,1.0,0.0,1.0,0.0,45
44.0,79.0,4.4,574,44.0,1.0,0.0,1.0,0.0,50
24.99,50.0,4.4,3745,24.99,1.0,0.0,1.0,0.0,204
24.95,60.0,4.6,23,24.95,0.0,0.0,1.0,0.0,65
59.99,75.0,4.3,61,59.99,1.0,0.0,1.0,0.0,34
41.99,,4.1,1669,41.99,1.0,0.0,1.0,5.0,36
35.69,62.0,4.5,25311,35.69,1.0,0.0,1.0,0.0,155
35.0,,4.3,2046,35.0,1.0,0.0,1.0,0.0,82
52.49,74.0,4.6,17379,52.49,1.0,0.0,1.0,0.0,1003
69.99,,4.6,3554,69.99,1.0,0.0,1.0,0.0,950
55.97,75.0,4.3,2774,55.97,1.0,0.0,1.0,0.0,5
56.25,75.0,4.5,8062,56.25,1.0,0.0,1.0,0.0,72
35.0,65.0,4.4,1194,35.0,0.0,0.0,1.0,0.0,98
46.8,70.0,4.3,35,46.8,1.0,0.0,1.0,0.0,51
29.37,,4.5,231,29.37,0.0,0.0,0.0,0.0,87
36.89,70.0,4.2,207,36.89,0.0,1.0,1.0,0.0,103
60.0,,4.4,60,60.0,0.0,0.0,1.0,0.0,53
28.65,41.99,4.5,2773,28.65,1.0,0.0,1.0,0.0,34
39.2,69.95,4.5,19603,39.2,1.0,0.0,1.0,0.0,75
48.0,79.0,4.6,668,48.0,1.0,0.0,1.0,0.0,155
44.99,49.95,4.3,27,44.99,1.0,0.0,1.0,0.0,34
53.22,65.0,4.7,16194,53.22,1.0,0.0,1.0,0.0,638
,,4.3,5,,0.0,0.0,0.0,0.0,15
49.9,,4.1,2842,49.9,1.0,0.0,1.0,20.0,907
,,4.6,60967,57.95,0.0,0.0,1.0,0.0,731
43.63,65.0,4.3,532,43.63,1.0,0.0,1.0,0.0,46
35.1,59.0,4.6,2747,35.1,1.0,0.0,1.0,0.0,194
36.97,79.0,4.5,83,36.97,1.0,0.0,1.0,0.0,22
52.0,80.0,4.5,205,52.0,1.0,0.0,1.0,0.0,98
39.58,,4.5,106,39.58,1.0,0.0,1.0,0.0,21
24.99,59.99,3.9,3780,24.99,1.0,0.0,1.0,11.0,24
35.99,,4.2,2248,35.99,1.0,0.0,1.0,10.0,265
99.95,,3.8,42,99.95,1.0,0.0,1.0,0.0,33
,,4.4,5194,74.95,0.0,0.0,1.0,0.0,20
59.95,80.0,4.5,11090,59.95,1.0,0.0,1.0,0.0,79
81.79,150.0,4.4,800,81.79,1.0,0.0,1.0,0.0,155
49.99,,4.0,39,49.99,1.0,0.0,1.0,0.0,70
37.99,,4.3,5003,37.99,1.0,0.0,1.0,0.0,4719
24.99,49.99,4.1,3919,24.99,1.0,0.0,0.0,0.0,3145
65.0,,4.4,1320,65.0,1.0,0.0,1.0,0.0,24
27.0,45.0,3.9,94,27.0,1.0,0.0,1.0,0.0,55
