product_price,product_original_price,product_star_rating,product_num_ratings,product_minimum_offer_price,is_prime,climate_pledge_friendly,has_variations,coupon_discount,sales_volume
44.52,80.0,4.6,709,44.52,1.0,0.0,1.0,0.0,510
42.5,75.0,4.7,2028,42.5,1.0,0.0,1.0,0.0,101
38.5,70.0,4.5,502,38.5,1.0,0.0,1.0,0.0,214
30.69,50.0,4.5,40996,30.69,1.0,0.0,1.0,0.0,96
60.0,80.0,4.6,397,60.0,1.0,0.0,1.0,0.0,160
41.98,75.0,4.3,2787,41.98,1.0,0.0,1.0,0.0,20
27.95,60.0,4.3,148,27.95,0.0,0.0,1.0,0.0,18
62.0,65.0,4.5,91,62.0,1.0,0.0,1.0,0.0,129
55.99,65.0,4.4,36373,55.99,1.0,0.0,1.0,0.0,252
35.0,0.0,4.6,206,35.0,1.0,0.0,1.0,0.0,49
48.75,65.0,4.5,898,48.75,1.0,0.0,1.0,0.0,42
33.0,60.0,4.1,24,33.0,1.0,0.0,1.0,0.0,36
52.24,65.0,4.7,16203,52.24,1.0,0.0,1.0,0.0,432
15.74,39.99,4.2,12853,15.74,1.0,0.0,1.0,0.0,405
64.99,0.0,4.5,626,64.99,1.0,0.0,1.0,0.0,45
41.79,79.0,4.4,577,41.79,1.0,0.0,1.0,0.0,18
24.99,50.0,4.4,3749,24.99,1.0,0.0,1.0,0.0,192
39.2,69.95,4.5,19615,39.2,1.0,0.0,1.0,0.0,123
29.5,59.0,4.6,2753,29.5,1.0,0.0,1.0,0.0,174
59.99,75.0,4.3,61,59.99,1.0,0.0,1.0,0.0,69
25.47,41.99,4.5,2774,25.47,1.0,0.0,1.0,0.0,124
56.25,75.0,4.5,8123,56.25,1.0,0.0,1.0,0.0,124
44.97,74.0,4.6,26966,44.97,1.0,0.0,1.0,0.0,925
35.69,62.0,4.5,25353,35.69,1.0,0.0,1.0,0.0,109
41.49,0.0,4.3,2046,41.49,1.0,0.0,1.0,0.0,30
49.99,79.0,4.6,718,49.99,1.0,0.0,1.0,0.0,110
29.49,0.0,4.5,231,29.49,1.0,0.0,0.0,0.0,89
41.99,0.0,4.1,1671,41.99,1.0,0.0,1.0,5.0,43
39.92,49.9,4.1,2868,39.92,1.0,0.0,1.0,0.0,829
52.5,70.0,4.3,36,52.5,1.0,0.0,1.0,0.0,45
44.99,49.95,4.4,29,44.99,1.0,0.0,1.0,0.0,26
34.99,70.0,4.0,328,34.99,1.0,1.0,1.0,0.0,103
36.89,70.0,4.2,213,36.89,0.0,1.0,1.0,0.0,95
26.98,54.95,4.4,42060,26.98,1.0,0.0,1.0,0.0,291
60.0,0.0,4.4,61,60.0,0.0,0.0,1.0,0.0,28
