,asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery,has_variations,coupon_text
0,B0BZXSLD5H,Under Armour men&#x27;s Charged Commit Trainer 4 Sneaker,$39.20,$80.00,USD,4.6,394,https://www.amazon.com/dp/B0BZXSLD5H,https://m.media-amazon.com/images/I/51Ih-2zQ++L._AC_UL960_FMwebp_QL65_.jpg,1,$39.20,False,False,True,False,50+ bought in past month,"FREE delivery Fri, Oct 11",True,
1,B09ZF98TZQ,Reebok Unisex Glide Sneaker,$39.00,$70.00,USD,4.5,501,https://www.amazon.com/dp/B09ZF98TZQ,https://m.media-amazon.com/images/I/71wGqH3EwGL._AC_UL960_FMwebp_QL65_.jpg,1,$39.00,False,False,True,False,100+ bought in past month,"FREE delivery Fri, Oct 11 Or fastest delivery Thu, Oct 10",True,
2,B0C7YJS1D9,Levi&#x27;s men&#x27;s Carter Nb Sneaker,$27.95,$60.00,USD,4.3,147,https://www.amazon.com/dp/B0C7YJS1D9,https://m.media-amazon.com/images/I/41lb4XQIYbL._AC_UL960_FMwebp_QL65_.jpg,1,$27.95,False,False,False,False,List: ,FREE delivery Oct 14 - 15,True,
3,B08MQP54BM,Tommy Hilfiger Men&#x27;s Brecon,$50.99,$75.00,USD,4.7,2026,https://www.amazon.com/dp/B08MQP54BM,https://m.media-amazon.com/images/I/71lG78RvwhL._AC_UL960_FMwebp_QL65_.jpg,1,$50.99,False,False,True,False,50+ bought in past month,"FREE delivery Fri, Oct 11 Or fastest delivery Thu, Oct 10 Prime Try Before You Buy",True,
4,B07H5VGV67,Skechers Women&#x27;s Uno- Stand On Air Sneaker,$55.00,$65.00,USD,4.4,36303,https://www.amazon.com/dp/B07H5VGV67,https://m.media-amazon.com/images/I/71AIs8qfKDL._AC_UL960_FMwebp_QL65_.jpg,1,$55.00,False,False,True,False,200+ bought in past month,"FREE delivery Fri, Oct 11 Or fastest delivery Wed, Oct 9",True,
5,B0BHPW3LBX,adidas Men&#x27;s Racer Tr23 Sneaker,$44.42,$80.00,USD,4.6,704,https://www.amazon.com/dp/B0BHPW3LBX,https://m.media-amazon.com/images/I/81jGP9IYOBL._AC_UL960_FMwebp_QL65_.jpg,1,$44.42,False,False,True,False,300+ bought in past month,"FREE delivery Fri, Oct 11 Or fastest delivery Thu, Oct 10",True,
6,B077HQTBT6,Alicegana Sneakers for Women Running Shoes: Fashion Walking Womens Sneakers Casual Lightweight Tennis Shoes,$15.74,$39.99,USD,4.2,12844,https://www.amazon.com/dp/B077HQTBT6,https://m.media-amazon.com/images/I/81kvvmH31SL._AC_UL960_FMwebp_QL65_.jpg,1,$15.74,False,False,True,False,300+ bought in past month,"FREE delivery Fri, Oct 11 on $35 of items shipped by AmazonOr fastest delivery Wed, Oct 9",True,
7,B0CP9TZGG3,Nautica Men&#x27;s Sneakers - Stylish and Comfortable Casual Shoes for Fashionable Walking and Running | Lace-Up Athletic Footwear-Manalapin,$39.98,,USD,4.6,206,https://www.amazon.com/dp/B0CP9TZGG3,https://m.media-amazon.com/images/I/51ri7WnOhcL._AC_UL960_FMwebp_QL65_.jpg,1,$39.98,False,False,True,False,,"FREE delivery Fri, Oct 11 Or fastest delivery Thu, Oct 10",True,
8,B08V8V7G1Z,Calvin Klein Women&#x27;s Caden Sneaker,$44.00,$79.00,USD,4.4,574,https://www.amazon.com/dp/B08V8V7G1Z,https://m.media-amazon.com/images/I/61uYT-PPaRL._AC_UL960_FMwebp_QL65_.jpg,1,$44.00,False,False,True,False,List: ,"FREE delivery Fri, Oct 11 Or fastest delivery Thu, Oct 10",True,
9,B07LBW2GF9,PUMA Womens Adelina,$24.99,$50.00,USD,4.4,3745,https://www.amazon.com/dp/B07LBW2GF9,https://m.media-amazon.com/images/I/61MgiBmvE5L._AC_UL960_FMwebp_QL65_.jpg,1,$24.99,False,False,True,False,100+ bought in past month,"FREE delivery Fri, Oct 11 on $35 of items shipped by AmazonOr fastest delivery Thu, Oct 10",True,
